name,category,country,city,genre,stream_url,logo_url,source_url,language,stationuuid,countrycode
100e7,Nacionais • Pop,Brasil,Rio Grande do Sul,pop,https://radio.saopaulo01.com.br:10919/live,https://100e7.com.br/images/favicon.png,https://100e7.com.br/,,,
101.9 Radio Educativa - Campinas,Nacionais • Pop,Brasil,SP,pop & samba - antigas,http://streaming.ima.sp.gov.br:8000/educativa.mp3,,http://www.educativa.fm.br/,,,
80 fm dance music,Nacionais • Pop,Brasil,São Paulo,Pop,https://servidor26.brlogic.com:7006/live,,https://www.80fmdancemusic.com.br/,,,
94 FM CORDEIRO-RJ,Nacionais • Pop,Brasil,,pop,http://s17.hstbr.net:8040/live?1601949995965,,,,,
96 FM Maceió,Nacionais • Pop,Brasil,Alagoas,"eclética,hits,popular",https://streaming.livespanel.com:20096/radio96fm,https://www.radios.com.br/aovivo/radio-96-maceio-fm/18335,https://96noticias.com.br/,,,
Alpha FM 90.1 Curitiba p PR,Nacionais • Pop,Brasil,Paraná(Brazil),adult contemporary,https://radio901.webnimbus.cloud/radioalpha/icecast.audio,,https://radioalphacuritiba.com.br/,,,
Antena 1  - Porto Alegre,Nacionais • Pop,Brasil,Rio Grande do Sul,,https://antenaone.crossradio.com.br/stream/1,https://www.antena1.com.br/apple-touch-icon.png,https://www.antena1.com.br/,,,
Antena 1 100.1 FM Salvador Bahia,Nacionais • Pop,Brasil,Bahia,adulto contemporáneo,https://www.antena1.com.br/stream/stream/1,https://tudoradio.com/img/uploads/radios/66bfd4cf7bb92.png,https://www.antena1.com.br/,,,
Antena 1 FM 94.7 São Paulo,Nacionais • Pop,Brasil,São Paulo,"adult contemporary,lite",http://antena1.newradio.it/stream,https://www.antena1.com.br/apple-touch-icon.png,https://www.antena1.com.br/,,,
Antena 1 Rio,Nacionais • Pop,Brasil,Rio de Janeiro,"adult contemporary,adult hits,mpb,soft adult contemporary",http://a1rj.streams.com.br:7801/stream,https://www.antena1rio.com.br/wp-content/uploads/2024/01/logo-antena-1.png,https://www.antena1rio.com.br/,,,
